,city,state
0,Central,AK
1,Atka,AK
2,Buckland,AK
3,Portage,AK
4,Nivalina,AK
5,Golovin,AK
6,Kaltag,AK
7,Egegik,AK
8,Koyuk,AK
9,Chandalar,AK
10,Red,AK
11,Birchwood,AK
12,Adak,AK
13,Noatak,AK
14,Kodiak,AK
15,Anchorage,AK
16,Annette,AK
17,Barrow,AK
18,Cold,AK
19,Dillingham,AK
20,Fairbanks,AK
21,Galbraith,AK
22,Homer,AK
23,Juneau,AK
24,McGrath,AK
25,Mekoryuk,AK
26,Kuparuk,AK
27,Nome,AK
28,Kotzebue,AK
29,Saint,AK
30,Seldovia,AK
31,Sheep,AK
32,Talkeetna,AK
33,Unalakleet,AK
34,Point,AK
35,Valdez,AK
36,Yakutat,AK
37,Ambler,AK
38,King,AK
39,Cape,AK
40,Shemya,AK
41,Aniak,AK
42,Bettles,AK
43,Dutch,AK
44,Fort,AK
45,Middleton,AK
46,Port,AK
47,Deadhorse,AK
48,Sitka,AK
49,Cantwell,AK
50,Arctic,AK
51,Big,AK
52,Bethel,AK
53,Big,AK
54,Barter,AK
55,Eagle,AK
56,Metlakatla,AK
57,Elfin,AK
58,Fairbanks,AK
59,Gulkana,AK
60,Ketchikan,AK
61,Mckinley,AK
62,Minchumina,AK
63,Northway,AK
64,Petersburg,AK
65,Puntilla,AK
66,Sand,AK
67,Seward,AK
68,Skagway,AK
69,Shishmaref,AK
70,Tanana,AK
71,Umiat,AK
72,Port,AK
73,Port,AK
74,Cape,AK
75,Cape,AK
76,Galena,AK
77,Sparrevohn,AK
78,Deering,AK
79,Slana,AK
80,Cordova,AK
81,Elmendorf,AK
82,Kenai,AK
83,Nenana,AK
84,Iliamna,AK
85,Chignik,AK
86,Lake,AK
87,Hooper,AK
88,Skwentna,AK
89,Eureka,AK
90,Healy,AK
91,Hayes,AK
92,St.,AK
93,Snowshoe,AK
94,Whittier,AK
95,Anaktuvuk,AK
96,Anvik,AK
97,Huslia,AK
98,Hydaburg,AK
99,Kake,AK
100,Anchorage,AK
101,Palmer,AK
102,Sleetmute,AK
103,Soldotna,AK
104,St.,AK
105,Togiak,AK
106,Valdez,AK
107,Selawik,AK
108,Wrangell,AK
109,Wasilla,AK
110,Chulitna,AK
111,Willow,AK
112,Haines,AK
113,Nabesna,AK
114,Sutton,AK
115,Fairbanks,AK
116,Tin,AK
117,Tatalina,AK
118,Emmonak,AK
119,Klawock,AK
120,Gustavus,AK
121,McCarthy,AK
122,Savoonga,AK
123,Hoonah,AK
124,Indian,AK
125,Nuiqsut,AK
126,Alabaster,AL
127,Anniston,AL
128,Auburn-Opelika,AL
129,Mobile,AL
130,Birmingham,AL
131,Centreville,AL
132,Decatur,AL
133,Dothan,AL
134,Evergreen,AL
135,Gadsden,AL
136,Huntsville,AL
137,Montgomery,AL
138,Mobile,AL
139,Muscle,AL
140,Maxwell,AL
141,Ozark,AL
142,Tuscaloosa,AL
143,Troy,AL
144,Searcy,AR
145,NW,AR
146,Mount,AR
147,Russellville,AR
148,Walnut,AR
149,Springdale,AR
150,Batesville,AR
151,Blytheville,AR
152,El,AR
153,Flippin,AR
154,Fort,AR
155,Fayetteville,AR
156,Hot,AR
157,Harrison,AR
158,Jonesboro,AR
159,Little,AR
160,Little,AR
161,Pine,AR
162,Rogers,AR
163,Stuttgart,AR
164,Siloam,AR
165,Texarkana,AR
166,Bentonville,AR
167,Mountain,AR
168,Blytheville,AR
169,Monticello,AR
170,Casa,AZ
171,Tucson,AZ
172,Douglas,AZ
173,Phoenix,AZ
174,Safford,AZ
175,Mesa,AZ
176,Sierra,AZ
177,Flagstaff,AZ
178,Gila,AZ
179,Grand,AZ
180,Goodyear,AZ
181,Bullhead,AZ
182,Kingman,AZ
183,Winslow,AZ
184,Williams,AZ
185,Glendale,AZ
186,Nogales,AZ
187,Yuma,AZ
188,Page,AZ
189,Phoenix,AZ
190,Prescott,AZ
191,Scottsdale,AZ
192,St.,AZ
193,Show,AZ
194,Tucson,AZ
195,Valle,AZ
196,Yuma,AZ
197,Window,AZ
198,Avalon,CA
199,Newhall,CA
200,Ramona,CA
201,Point,CA
202,Arcata,CA
203,Napa,CA
204,Beale,CA
205,Bakersfield,CA
206,Bishop,CA
207,Blythe,CA
208,Blue,CA
209,Burney,CA
210,Beaumont,CA
211,Burbank,CA
212,Concord,CA
213,Crescent,CA
214,Chico,CA
215,Camarillo,CA
216,Chino,CA
217,Carlsbad,CA
218,Campo,CA
219,Daggett-Barstow,CA
220,Edwards,CA
221,Needles,CA
222,Eureka,CA
223,El,CA
224,Fresno,CA
225,Fullerton,CA
226,Hawthorne,CA
227,Hanford,CA
228,Hayward,CA
229,Imperial,CA
230,Santa,CA
231,Los,CA
232,Los,CA
233,Long,CA
234,Lompoc,CA
235,Livermore,CA
236,Merced,CA
237,Mather,CA
238,Mount,CA
239,Mojave,CA
240,Mammoth,CA
241,Modesto,CA
242,Monterey,CA
243,Mount,CA
244,San,CA
245,Marysville,CA
246,Camp,CA
247,China,CA
248,El,CA
249,Miramar,CA
250,Lemoore,CA
251,Imperial,CA
